packed_designation,a_au,Nopp
15760,44.3222412,17
15788,39.6631053,21
15789,39.8480222,17
15807,43.4980123,14
15809,42.2911034,7
15810,39.4050425,16
15820,39.8428517,19
15836,36.2123458,17
15874,84.707043,24
15875,39.6465158,17
15883,46.8743886,6
16684,43.8971373,15
19255,42.919523,7
19299,39.8993018,14
19308,43.6043001,21
19521,45.9423498,20
20000,42.9438766,29
20108,39.7541198,7
20161,48.2101517,8
24835,42.0792753,26
24952,39.7351526,17
24978,43.2062706,6
26181,92.0552011,25
26308,48.1168419,28
26375,55.0120327,24
28978,39.5286998,19
29981,98.6764682,15
32929,40.0526336,19
33001,43.3463828,17
33128,33.162151,20
33340,39.349779,21
35671,38.2078431,23
38083,38.7813671,16
38084,55.220933,18
38628,39.2777687,24
40314,48.574814,21
42301,51.9946366,23
42355,37.5191719,26
44594,32.7282404,23
45802,43.6888026,5
47171,39.8059784,24
47932,39.185135,20
48639,53.0483348,21
49673,43.4741629,12
50000,43.3121698,31
52747,44.3405115,6
53311,43.856601,15
54520,123.7580584,4
55565,46.9818423,22
55636,43.6138997,28
55637,42.9905718,25
55638,39.4995528,22
58534,44.9656858,18
59358,41.2998561,18
60454,44.0492326,16
60458,59.0076717,13
60608,48.7360282,15
60620,43.4957225,18
60621,54.8797889,15
65407,54.0475121,4
65489,99.1513537,23
66452,45.2422318,17
66652,44.0752564,20
69986,39.6302368,8
69987,42.7350277,10
69988,55.7392311,6
69990,39.4286197,6
73480,31.1790357,19
76803,38.8347928,15
78799,37.6054785,14
79360,43.7465351,26
79969,34.7057972,15
79978,53.7506909,18
79983,46.1046402,16
80806,42.0116523,16
82075,57.7582181,22
82155,84.0520057,20
82157,38.3592362,16
84522,55.7669002,22
84719,39.7103289,22
84922,39.6235015,23
85627,43.899049,12
85633,43.7730751,15
86047,44.0771277,15
86177,45.7352614,17
87555,35.1135284,13
88267,42.8799673,5
88268,42.4516024,4
88611,44.323637,18
90482,39.1456398,29
90568,41.7470704,22
91133,39.3401653,4
91205,39.4631341,7
91554,103.9908462,14
95625,52.8450051,5
B8228,39.6565977,15
B8378,43.5534945,14
B8379,45.0866183,4
B8698,43.9603563,11
B8702,100.2164081,5
B9066,43.6178744,4
B9067,43.5386556,6
B9068,54.9883797,4
B9069,39.1403666,9
B9070,43.6106198,4
B9473,39.9285754,13
B9878,53.632291,20
B9951,38.7215235,18
B9956,43.9211766,18
B9979,48.0146571,17
C0132,49.0349839,22
C0178,43.4359546,22
C0181,32.5914296,23
C0216,39.2097383,19
C0347,42.3361976,25
C0348,39.140356,21
C3509,44.5590219,11
C6154,42.2487916,21
C6155,39.4619813,17
C6619,70.6156505,11
C6719,46.683138,16
C7546,65.9914234,14
C7871,34.7571481,15
C9746,39.059763,13
C9772,43.4207469,13
D0391,47.2757974,5
D1318,39.1219421,13
D1695,37.1561351,13
D1696,52.7644308,14
D1697,34.8365185,14
D3067,39.3629535,15
D4210,62.8962599,16
D4340,39.5200744,100
D4568,44.0735685,5
D4860,43.1435503,18
D5024,43.5148346,10
D5182,37.3634441,6
D5571,55.1594875,4
D5742,43.9572235,5
D6108,42.8916875,29
D6120,61.9237556,5
D6199,68.1551553,32
D6472,45.2859684,26
D7294,45.2983931,11
D7295,48.1300573,21
D8537,46.9726343,19
D8628,45.1694463,9
D9775,39.7517167,21
E3685,36.8200059,18
E3707,56.3093322,21
E3751,42.5851365,5
E3991,44.7173111,6
E4897,39.2930941,28
E5451,92.2629085,24
E5452,41.8046386,30
E5453,43.5241305,23
E5474,94.276696,22
E5480,76.7620628,23
E8112,44.3085276,9
E8780,44.4857136,9
E8975,28.6916422,9
E9348,45.334012,7
E9349,42.6003517,10
E9560,41.8102164,5
F0642,44.9645293,21
G0091,45.451523,12
G0147,43.5099084,8
G0148,69.3260213,4
G0256,43.3060012,10
G8700,39.1691751,6
G8703,39.6227078,17
G9071,39.1032392,5
H4567,45.6921986,26
H5113,39.1999589,21
I1708,43.4869301,17
I1855,46.2488689,8
I1867,52.620379,9
I1868,49.2634388,8
