"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
20010370," 10370 Hylonome (1995 DW2)",10370,Hylonome,,N,N,0,8.20,,,,,,,,,,,,,,,,,,,9,2460200.5,60200,2023-09-13.0000000,J2000,.2438092363209174,25.01739395789119,18.91792224227821,4.139288083498681,178.3099957297551,5.950877347354027,81.90944873600958,31.11686567350418,.007876639562899386,2449801.465223568164,1995-03-24.9652236,45704.77005139031,125.132840660891,17.9191,6973.576147,13.4583,4.450,4.3822E-5,.00184,.00030232,.00013178,.00065786,.0050866,.011913,.0022886,8.6897E-7,.37871,5.0422,CEN,"Otto Matic",5576,1995-03-09,2010-06-14,78,,,3,.48232,,,,,,,,,
20015760," 15760 Albion (1992 QB1)",15760,Albion,,N,N,0,7.18,,,,,,,,,,,,,,,,,,,8,2460200.5,60200,2023-09-13.0000000,J2000,.07633050612965819,44.32247557272793,40.9393185793422,2.180953151547551,359.3121796559913,6.271386774828227,32.82218288568167,47.70563256611366,.003340166068607315,2450373.987721415329,1996-10-17.4877214,107779.0722393939,295.083017766992,39.9371,15542.321207,35.9868,5.933,4.7316E-5,.002936,.00062154,5.4843E-5,.00085808,.0098915,.011054,.0031601,3.3189E-7,2.528,10.709,TNO,"Otto Matic",11075,1992-08-30,2022-12-26,96,,,3,.79363,,,,,,,,,
20015788," 15788 (1993 SB)",15788,,,N,N,0,7.96,,,,,,,,,,,,,,,,,,,13,2460200.5,60200,2023-09-13.0000000,J2000,.325636190235264,39.66301621048367,26.74730271846225,1.936252410487473,354.7318268958825,78.92465361041819,1.278773672962759,52.57872970250509,.003945712772971971,2459876.408068696149,2022-10-23.9080687,91238.26814409568,249.796764254882,25.7616,10025.641872,21.6781,5.349,1.2108E-5,.00087063,.0001089,1.7458E-5,.00084591,.0012858,.00042072,.0011541,1.2992E-7,.11672,3.0041,TNO,"Otto Matic",10335,1994-08-15,2022-12-01,126,,,2,.6474,,,,,,,,,
20015789," 15789 (1993 SC)",15789,,,N,N,0,7.09,,,,,,,328,,0.022,,,,,,,,,60,11,2460200.5,60200,2023-09-13.0000000,J2000,.186816112866799,39.84840927620784,32.40408435130139,5.148238902825495,354.5294225067485,319.4126484771841,74.01511934378058,47.29273420111429,.003918208928561043,2441310.461032383606,1971-12-24.9610324,91878.71462796383,251.550211164856,31.3915,12216.630055,27.3316,5.546,1.3787E-5,.001546,.00072291,3.3624E-5,.00032356,.0074072,.0088469,.0018348,2.2802E-7,1.1593,5.3469,TNO,"Otto Matic",9614,1993-09-23,2020-01-19,146,,,2,.68838,,,,,,,,,
20015807," 15807 (1994 GV9)",15807,,,N,N,0,7.32,,,,,,,,,,,,,,,,,,,7,2460200.5,60200,2023-09-13.0000000,J2000,.06098129865867832,43.49296530646346,40.84070779955848,.5655333507735677,176.9537336913164,299.3718282824295,88.41621804593015,46.14522281336845,.003436177155727343,2434469.516398482258,1953-04-02.0163985,104767.5901691972,286.83802921067,39.8557,15510.642769,35.5741,5.891,2.3312E-5,.0036705,.0025892,8.8462E-5,.0042205,.056749,.059243,.0038943,4.3499E-7,13.988,13.263,TNO,"Otto Matic",9540,1994-05-05,2020-06-17,61,,,3,.67996,,,,,,,,,
20015809," 15809 (1994 JS)",15809,,,N,N,0,7.64,,,,,,,,,,,,,,,,,,,4,2460200.5,60200,2023-09-13.0000000,J2000,.2183192179158117,42.27904430281666,33.04871641639777,14.05972354703009,56.44044161757177,238.14628838,359.7698675778099,51.50937218923555,.003585224299745193,2460264.689128196653,2023-11-16.1891282,100412.1276388721,274.913422693695,32.0545,12474.649765,28.0031,5.520,.00032018,.020408,.0072366,.00072833,.00041997,.063309,.035328,.024863,2.5959E-6,9.8212,72.703,TNO,"Otto Matic",2259,1995-04-06,2001-06-12,38,,,4,.40709,,,,,,,,,
20015810," 15810 Arawn (1994 JR1)",15810,Arawn,,N,N,0,7.68,,,,,,,,,,5.49,,,,,,,,,"JPL 11",2460200.5,60200,2023-09-13.0000000,J2000,.1159304980614922,39.40494457041427,34.83670972028065,3.798084791034369,144.7989284240169,103.56224209727,39.05279960240589,43.97317942054789,.00398453817895358,2450399.414441657593,1996-11-11.9144417,90349.24094880758,247.362740448481,33.8243,13163.402831,29.4851,5.587,3.195E-6,.00026026,.00012716,5.4057E-5,.00070598,.0036784,.00321,.00029043,3.9475E-8,.71306,.8951,TNO,"Otto Matic",10686,1994-05-12,2023-08-14,98,,,2,.4231,,,,,,,,,
20015820," 15820 (1994 TB)",15820,,,N,N,0,7.59,,,,,,,,,,6,,,,,,,,,14,2460200.5,60200,2023-09-13.0000000,J2000,.3231851157410585,39.84445235238613,26.96731840724113,12.13780319040969,317.338359609027,98.94108330765064,6.678292859298445,52.72158629753114,.003918792614805308,2458496.328966792561,2019-01-12.8289668,91865.02971346582,251.512743910926,26.0007,10118.692419,22.1029,5.251,1.5663E-5,.001103,.00012393,6.9138E-6,.00013746,.0010484,.00024276,.0014595,1.6272E-7,.12819,3.8146,TNO,"Otto Matic",9587,1994-10-13,2021-01-11,165,,,2,.68191,,,,,,,,,
20015836," 15836 (1995 DA2)",15836,,,N,N,0,8.06,,,,,,,,,,,,,,,,,,,8,2460200.5,60200,2023-09-13.0000000,J2000,.07443610352639746,36.21222309729649,33.51672630990513,6.558762695947376,127.5112417718058,330.4822540550424,73.01589760370115,38.90771988468786,.004522944856835825,2444057.058079997949,1979-07-02.5580800,79594.16075035896,217.916935661489,32.5338,12661.178946,28.3368,5.371,1.9432E-5,.001598,.00080248,6.8303E-5,.00045214,.020916,.022349,.001717,2.9939E-7,3.8773,5.2686,TNO,"Otto Matic",9067,1995-03-30,2020-01-25,68,,,3,.76409,,,,,,,,,
20015874," 15874 (1996 TL66)",15874,,,N,N,0,5.44,,,,,,,,,,12,,,,,,,,,24,2460200.5,60200,2023-09-13.0000000,J2000,.5866146329732199,84.70890933523373,35.01742357598383,23.93992186428478,217.649819078828,184.7746611690351,10.24053233724067,134.4003950944836,.001264184434897126,2452099.994998865410,2001-07-09.4949989,284768.5749502962,779.653867078155,34.0258,13241.820586,30.0389,6.035,1.4863E-5,.0033299,.00011888,1.6626E-5,2.9982E-5,.00035401,.00067271,.0052833,7.4543E-8,.059532,16.791,TNO,"Otto Matic",9599,1996-10-09,2023-01-20,512,,,1,.49628,,,,,,,,,
