packed_designation,resonant_count,classical_count,scattering_count,detached_count,other_count
15760,0,301,0,0,0
15788,301,0,0,0,0
15789,301,0,0,0,0
15807,0,301,0,0,0
15809,301,0,0,0,0
15810,301,0,0,0,0
15820,301,0,0,0,0
15836,301,0,0,0,0
15874,0,0,301,0,0
15875,301,0,0,0,0
15883,0,301,0,0,0
16684,0,301,0,0,0
19255,0,301,0,0,0
19299,301,0,0,0,0
19308,0,301,0,0,0
19521,0,301,0,0,0
20000,0,301,0,0,0
20108,301,0,0,0,0
20161,301,0,0,0,0
24835,0,301,0,0,0
24952,301,0,0,0,0
24978,0,301,0,0,0
26181,1,0,300,0,0
26308,301,0,0,0,0
26375,301,0,0,0,0
28978,301,0,0,0,0
29981,0,0,301,0,0
32929,301,0,0,0,0
33001,0,301,0,0,0
33128,0,0,301,0,0
33340,301,0,0,0,0
35671,0,301,0,0,0
38083,0,301,0,0,0
38084,301,0,0,0,0
38628,301,0,0,0,0
40314,0,0,0,301,0
42301,301,0,0,0,0
42355,0,0,301,0,0
44594,0,0,301,0,0
45802,0,301,0,0,0
47171,301,0,0,0,0
47932,301,0,0,0,0
48639,0,301,0,0,0
49673,0,301,0,0,0
50000,0,301,0,0,0
52747,0,301,0,0,0
53311,0,301,0,0,0
54520,0,0,301,0,0
55565,0,301,0,0,0
55636,0,301,0,0,0
55637,0,301,0,0,0
55638,301,0,0,0,0
58534,0,301,0,0,0
59358,1,30,270,0,0
60454,0,301,0,0,0
60458,0,0,0,301,0
60608,0,0,301,0,0
60620,301,0,0,0,0
60621,301,0,0,0,0
65489,0,0,301,0,0
66452,0,301,0,0,0
66652,301,0,0,0,0
69986,301,0,0,0,0
69987,0,301,0,0,0
69988,301,0,0,0,0
69990,301,0,0,0,0
73480,0,0,301,0,0
76803,0,301,0,0,0
78799,0,0,301,0,0
79360,0,301,0,0,0
79969,301,0,0,0,0
79978,0,0,0,301,0
79983,0,301,0,0,0
80806,0,301,0,0,0
82075,301,0,0,0,0
82155,0,0,301,0,0
82157,0,301,0,0,0
84522,301,0,0,0,0
84719,301,0,0,0,0
84922,301,0,0,0,0
85627,0,301,0,0,0
85633,0,301,0,0,0
86047,0,301,0,0,0
86177,0,301,0,0,0
87555,0,0,301,0,0
88267,0,301,0,0,0
88268,0,301,0,0,0
88611,0,301,0,0,0
