which_des,which_obj,which_resonance,which_conditions_checked
15760,0,not_resonant,none
15788,1,32,0
15789,2,32,0
15807,3,not_resonant,none
15809,4,other,0
15810,5,32,0
15820,6,32,0
15836,7,other,0
15874,8,not_resonant,none
15875,9,32,0
15883,10,not_resonant,none
16684,11,not_resonant,none
19255,12,not_resonant,none
19299,13,32,0
19308,14,not_resonant,none
19521,15,not_resonant,none
20000,16,not_resonant,none
20108,17,32,0
20161,18,21,0
24835,19,not_resonant,none
24952,20,32,0
24978,21,not_resonant,none
26181,22,not_resonant,none
26308,23,21,0
26375,24,52,0
28978,25,32,0
29981,26,not_resonant,none
32929,27,32,0
33001,28,not_resonant,none
33128,29,not_resonant,none
33340,30,32,0
35671,31,not_resonant,none
38083,32,not_resonant,none
38084,33,52,0
38628,34,32,0
40314,35,not_resonant,none
42301,36,other,0
42355,37,not_resonant,none
44594,38,not_resonant,none
45802,39,not_resonant,none
47171,40,32,0
47932,41,32,0
48639,42,not_resonant,none
49673,43,not_resonant,none
50000,44,not_resonant,none
52747,45,not_resonant,none
53311,46,not_resonant,none
54520,47,not_resonant,none
55565,48,not_resonant,none
55636,49,not_resonant,none
55637,50,not_resonant,none
55638,51,32,0
58534,52,not_resonant,none
59358,53,not_resonant,none
60454,54,not_resonant,none
60458,55,not_resonant,none
60608,56,not_resonant,none
60620,57,other,0
60621,58,52,0
65489,59,not_resonant,none
66452,60,not_resonant,none
66652,61,other,0
69986,62,32,0
69987,63,not_resonant,none
69988,64,52,0
69990,65,32,0
73480,66,not_resonant,none
76803,67,not_resonant,none
78799,68,not_resonant,none
79360,69,not_resonant,none
79969,70,other,0
79978,71,not_resonant,none
79983,72,not_resonant,none
80806,73,not_resonant,none
82075,74,other,0
82155,75,not_resonant,none
82157,76,not_resonant,none
84522,77,52,0
84719,78,32,0
84922,79,32,0
85627,80,not_resonant,none
85633,81,not_resonant,none
86047,82,not_resonant,none
86177,83,not_resonant,none
87555,84,not_resonant,none
88267,85,not_resonant,none
88268,86,not_resonant,none
88611,87,not_resonant,none
90482,88,32,0
90568,89,not_resonant,none
91133,90,32,0
91205,91,32,0
91554,92,not_resonant,none
95625,93,other,0
B8228,94,32,0
B8378,95,other,0
B8379,96,not_resonant,none
B8698,97,other,0
B8702,98,not_resonant,none
B9066,99,other,0
B9067,100,other,0
B9068,101,52,0
B9069,102,32,0
B9070,103,other,0
B9473,104,32,0
B9878,105,other,0
B9951,106,not_resonant,none
B9956,107,other,0
B9979,108,21,0
C0132,109,not_resonant,none
C0178,110,not_resonant,none
C0181,111,not_resonant,none
C0216,112,32,0
C0347,113,not_resonant,none
C0348,114,not_resonant,none
C3509,115,not_resonant,none
C6154,116,other,0
C6155,117,32,0
C6619,118,other,0
C6719,119,not_resonant,none
C7546,120,not_resonant,none
C7871,121,other,0
C9746,122,32,0
C9772,123,not_resonant,none
D0391,124,21,0
D1318,125,32,0
D1695,126,not_resonant,none
D1696,127,other,0
D1697,128,other,0
D3067,129,32,0
D4210,130,not_resonant,none
D4340,131,not_resonant,none
D4568,132,other,0
D4860,133,not_resonant,none
D5024,134,other,0
D5182,135,not_resonant,none
D5571,136,52,0
D5742,137,other,0
D6108,138,not_resonant,none
D6120,139,not_resonant,none
D6199,140,not_resonant,none
D6472,141,not_resonant,none
D7294,142,not_resonant,none
D7295,143,21,0
D8537,144,not_resonant,none
D8628,145,not_resonant,none
D9775,146,32,0
E3685,147,other,0
E3707,148,52,0
E3751,149,other,0
E3991,150,not_resonant,none
E4897,151,not_resonant,none
E5451,152,not_resonant,none
E5452,153,not_resonant,none
E5453,154,not_resonant,none
E5474,155,not_resonant,none
E5480,156,not_resonant,none
E8112,157,not_resonant,none
E8780,158,not_resonant,none
E9348,159,not_resonant,none
E9349,160,other,0
E9560,161,not_resonant,none
F0642,162,not_resonant,none
G0091,163,not_resonant,none
G0147,164,other,0
G0148,165,other,0
G0256,166,not_resonant,none
G8700,167,32,0
G8703,168,not_resonant,none
G9071,169,32,0
H4567,170,not_resonant,none
H5113,171,not_resonant,none
I1708,172,not_resonant,none
I1855,173,not_resonant,none
I1867,174,other,0
I1868,175,not_resonant,none
I1871,176,not_resonant,none
I1874,177,not_resonant,none
I1902,178,not_resonant,none
I2222,179,other,0
I2223,180,not_resonant,none
I2294,181,not_resonant,none
I2397,182,other,0
I2926,183,not_resonant,none
I2933,184,other,0
I2934,185,not_resonant,none
I3595,186,not_resonant,none
I3963,187,not_resonant,none
I3964,188,other,0
I4212,189,not_resonant,none
I4314,190,not_resonant,none
K2421,191,not_resonant,none
K8996,192,32,0
M5088,193,not_resonant,none
M9762,194,not_resonant,none
N0965,195,not_resonant,none
O1097,196,not_resonant,none
R5809,197,not_resonant,none
